Account Number,Annual Income ($1000),Household Size,Years of Post-High School Education,Hours Per Week Watching Television,Age,Gender (Assigned at Birth),Exceeded Credit Limit in Past 12 Months?,Annual Charges ($),,,,,,,,,,,Deviations from mean
10864136,101.9,3.0,0.0,4.0,66,Male,Yes,4574.61,,,,,,,,,,,4574.61
28987295,101.8,4.0,3.0,7.0,46,Male,No,4037.08,,,,,,,,,,,4037.08
7656032,101.8,3.0,3.0,42.0,36,Female,Yes,4764.25,,,,,,,,,,,4764.25
22780574,101.8,4.0,2.0,10.0,49,Female,Yes,9812.20,,,,,,,,,,,9812.20
28136994,101.8,2.0,3.0,47.0,52,Female,No,2827.13,,,,,,,,,,,2827.13
6186136,101.8,4.0,2.0,30.0,55,Female,No,7442.95,,,,,,,,,,,7442.95
7705166,101.7,2.0,2.0,19.0,41,Female,No,10611.38,,,,,,,,,,,10611.38
6936349,101.7,5.0,1.0,1.0,42,Male,No,8702.91,,,,,,,,,,,8702.91
26223634,101.7,1.0,5.0,25.0,67,Male,Yes,9240.15,,,,,,,,,,,9240.15
6674363,101.7,4.0,0.0,18.0,23,Male,No,14463.46,,,,,,,,,,,14463.46
5614514,101.7,4.0,2.0,36.0,32,Female,No,2666.40,,,,,,,,,,,2666.40
25843244,101.7,3.0,3.0,23.0,65,Female,No,2918.03,,,,,,,,,,,2918.03
21963057,101.7,6.0,1.0,18.0,58,Female,No,15827.77,,,,,,,,,,,15827.77
25370279,101.7,3.0,2.0,26.0,44,Female,No,10466.62,,,,,,,,,,,10466.62
9256695,101.6,8.0,2.0,12.0,53,Male,No,4938.57,,,,,,,,,,,4938.57
27233810,101.6,6.0,0.0,49.0,46,Other,No,21417.37,,,,,,,,,,,21417.37
2009640,101.6,6.0,4.0,25.0,53,Male,No,13797.76,,,,,,,,,,,13797.76
22232595,101.6,3.0,5.0,60.0,40,Female,Yes,2585.17,,,,,,,,,,,2585.17
21657234,101.5,6.0,2.0,7.0,56,Male,No,1378.06,,,,,,,,,,,1378.06
23905139,101.5,7.0,1.0,6.0,50,Female,No,186.07,,,,,,,,,,,186.07
12544286,101.5,5.0,3.0,41.0,37,Male,No,10233.37,,,,,,,,,,,10233.37
21296021,101.4,6.0,5.0,25.0,50,Male,No,7067.87,,,,,,,,,,,7067.87
7274405,101.4,4.0,2.0,47.0,34,Female,No,9394.85,,,,,,,,,,,9394.85
19505308,101.4,5.0,1.0,28.0,39,Male,No,16432.47,,,,,,,,,,,16432.47
28510885,101.4,7.0,5.0,18.0,36,Male,Yes,2277.05,,,,,,,,,,,2277.05
3325119,101.4,5.0,1.0,50.0,51,Male,No,22222.35,,,,,,,,,,,22222.35
16154451,101.4,6.0,0.0,16.0,46,Female,No,10739.91,,,,,,,,,,,10739.91
567523,101.4,3.0,2.0,11.0,41,Female,No,13083.31,,,,,,,,,,,13083.31
26428968,101.3,5.0,3.0,19.0,31,Female,No,1408.35,,,,,,,,,,,1408.35
20851466,101.3,4.0,5.0,20.0,61,Female,No,0.00,,,,,,,,,,,0.00
9578391,101.3,5.0,4.0,27.0,53,Male,No,4845.93,,,,,,,,,,,4845.93
15745995,101.2,2.0,3.0,19.0,48,Female,No,0.00,,,,,,,,,,,0.00
17948696,101.2,1.0,4.0,39.0,37,Male,No,2850.37,,,,,,,,,,,2850.37
24108343,101.2,7.0,3.0,25.0,49,Female,No,3987.57,,,,,,,,,,,3987.57
26796755,101.2,8.0,2.0,19.0,54,Female,Yes,7303.77,,,,,,,,,,,7303.77
6950200,101.1,3.0,0.0,36.0,47,Female,No,0.00,,,,,,,,,,,0.00
5171393,101.1,5.0,1.0,56.0,52,Female,No,11376.82,,,,,,,,,,,11376.82
18767330,101.1,3.0,4.0,27.0,50,Male,No,5457.85,,,,,,,,,,,5457.85
25092745,101.1,8.0,1.0,19.0,36,Male,No,0.00,,,,,,,,,,,0.00
4102398,101.1,5.0,3.0,38.0,52,Female,No,5553.01,,,,,,,,,,,5553.01
25156109,101.1,3.0,4.0,47.0,35,Female,No,6821.62,,,,,,,,,,,6821.62
4326218,101.0,8.0,4.0,38.0,59,Male,No,5081.14,,,,,,,,,,,5081.14
11425220,101.0,2.0,1.0,24.0,50,Male,No,25744.42,,,,,,,,,,,25744.42
12798,101.0,6.0,2.0,53.0,44,Male,No,19533.24,,,,,,,,,,,19533.24
12376517,101.0,3.0,1.0,22.0,25,Male,No,13651.82,,,,,,,,,,,13651.82
4512932,101.0,7.0,2.0,23.0,29,Male,No,18367.52,,,,,,,,,,,18367.52
9488770,101.0,3.0,1.0,36.0,41,Male,No,16576.27,,,,,,,,,,,16576.27
24072678,101.0,7.0,4.0,20.0,49,Male,No,11525.38,,,,,,,,,,,11525.38
1262514,101.0,5.0,4.0,30.0,50,Male,Yes,11708.81,,,,,,,,,,,11708.81
14147649,101.0,7.0,1.0,1.0,43,Male,No,8349.08,,,,,,,,,,,8349.08
21169177,101.0,3.0,4.0,52.0,54,Male,No,12625.98,,,,,,,,,,,12625.98
5243627,100.9,4.0,2.0,28.0,48,Male,No,11448.87,,,,,,,,,,,11448.87
7622602,100.9,7.0,5.0,21.0,54,Male,No,9660.43,,,,,,,,,,,9660.43
20955766,100.9,5.0,3.0,35.0,46,Male,No,14860.10,,,,,,,,,,,14860.10
1272564,100.8,5.0,2.0,40.0,44,Male,No,14513.34,,,,,,,,,,,14513.34
14791131,100.8,2.0,2.0,44.0,40,Male,Yes,14648.98,,,,,,,,,,,14648.98
17247504,100.8,3.0,0.0,57.0,40,Male,No,14035.76,,,,,,,,,,,14035.76
4945977,100.8,5.0,2.0,37.0,53,Female,No,17274.61,,,,,,,,,,,17274.61
9726414,100.8,3.0,1.0,49.0,35,Male,No,11713.50,,,,,,,,,,,11713.50
13993733,100.8,6.0,4.0,5.0,32,Female,No,18923.37,,,,,,,,,,,18923.37
6197708,100.8,5.0,3.0,6.0,55,Female,No,16203.51,,,,,,,,,,,16203.51
27831286,100.8,5.0,2.0,41.0,38,Female,No,11564.25,,,,,,,,,,,11564.25
16422266,100.8,5.0,1.0,24.0,31,Female,No,11217.21,,,,,,,,,,,11217.21
23512075,100.7,6.0,2.0,26.0,44,Male,No,28230.97,,,,,,,,,,,28230.97
18015817,100.7,5.0,1.0,52.0,52,Male,No,915.62,,,,,,,,,,,915.62
9055721,100.7,8.0,2.0,43.0,42,Female,No,15710.91,,,,,,,,,,,15710.91
24651189,100.7,2.0,4.0,41.0,34,Female,Yes,12522.88,,,,,,,,,,,12522.88
27350317,100.7,6.0,1.0,13.0,52,Female,No,8708.99,,,,,,,,,,,8708.99
14332358,100.6,6.0,3.0,15.0,38,Male,No,7335.16,,,,,,,,,,,7335.16
13151414,100.6,2.0,4.0,35.0,37,Female,No,1332.20,,,,,,,,,,,1332.20
17165201,100.6,3.0,1.0,44.0,40,Male,No,13486.26,,,,,,,,,,,13486.26
10221473,100.5,7.0,1.0,17.0,58,Male,No,19565.55,,,,,,,,,,,19565.55
20619775,100.4,7.0,4.0,46.0,70,Male,No,6939.13,,,,,,,,,,,6939.13
11301595,100.4,4.0,2.0,27.0,33,Female,No,13397.76,,,,,,,,,,,13397.76
23519793,100.4,2.0,5.0,22.0,64,Female,No,5313.77,,,,,,,,,,,5313.77
23039460,100.4,6.0,3.0,44.0,64,Female,No,12531.68,,,,,,,,,,,12531.68
8637564,100.4,4.0,1.0,21.0,38,Female,No,10123.70,,,,,,,,,,,10123.70
6185132,100.4,5.0,2.0,41.0,47,Male,No,11352.59,,,,,,,,,,,11352.59
16310418,100.4,3.0,1.0,43.0,38,Female,No,17544.69,,,,,,,,,,,17544.69
13726570,100.4,4.0,2.0,40.0,45,Male,No,12180.16,,,,,,,,,,,12180.16
3038979,100.3,2.0,1.0,36.0,46,Male,No,9490.45,,,,,,,,,,,9490.45
2173256,100.3,7.0,4.0,31.0,44,Male,No,8242.33,,,,,,,,,,,8242.33
9755302,100.3,4.0,2.0,49.0,36,Male,No,8011.74,,,,,,,,,,,8011.74
8264836,100.2,2.0,4.0,48.0,65,Male,No,22066.90,,,,,,,,,,,22066.90
2361050,100.2,6.0,1.0,3.0,41,Male,No,8813.23,,,,,,,,,,,8813.23
5971726,100.2,3.0,3.0,37.0,32,Male,No,10200.41,,,,,,,,,,,10200.41
9180457,100.2,4.0,1.0,45.0,27,Female,No,22856.87,,,,,,,,,,,22856.87
22418996,100.2,5.0,2.0,20.0,54,Female,No,18936.67,,,,,,,,,,,18936.67
10364842,100.2,2.0,5.0,31.0,58,Female,Yes,8845.00,,,,,,,,,,,8845.00
12023634,100.2,6.0,1.0,1.0,44,Male,No,3954.86,,,,,,,,,,,3954.86
18851082,100.2,6.0,2.0,7.0,47,Male,No,9676.43,,,,,,,,,,,9676.43
2935688,100.1,2.0,1.0,20.0,55,Female,No,10772.39,,,,,,,,,,,10772.39
5995768,100.1,1.0,0.0,58.0,45,Male,No,10204.98,,,,,,,,,,,10204.98
14390511,100.0,4.0,3.0,11.0,48,Female,No,17340.87,,,,,,,,,,,17340.87
12418401,100.0,3.0,2.0,24.0,58,Female,No,770.34,,,,,,,,,,,770.34
23069476,100.0,7.0,3.0,22.0,46,Female,No,16294.95,,,,,,,,,,,16294.95
10056650,100.0,4.0,5.0,50.0,24,Male,No,16246.53,,,,,,,,,,,16246.53
11652416,100.0,3.0,5.0,50.0,31,Female,No,10504.65,,,,,,,,,,,10504.65
16498721,99.9,8.0,2.0,19.0,52,Male,No,17291.03,,,,,,,,,,,17291.03
23963514,99.9,3.0,1.0,44.0,38,Male,No,13562.02,,,,,,,,,,,13562.02
25949947,99.9,4.0,2.0,58.0,54,Female,No,13828.44,,,,,,,,,,,13828.44
15579858,99.9,3.0,0.0,2.0,45,Male,No,12282.69,,,,,,,,,,,12282.69
28992198,99.9,4.0,4.0,51.0,51,Female,No,16272.69,,,,,,,,,,,16272.69
1240338,99.9,3.0,1.0,5.0,48,Female,No,2807.24,,,,,,,,,,,2807.24
26076456,99.9,6.0,1.0,24.0,55,Female,No,4720.83,,,,,,,,,,,4720.83
529515,99.8,6.0,5.0,34.0,64,Female,No,13226.39,,,,,,,,,,,13226.39
10877325,99.8,5.0,4.0,37.0,39,Female,No,15562.56,,,,,,,,,,,15562.56
3924700,99.8,6.0,2.0,52.0,45,Male,No,11726.53,,,,,,,,,,,11726.53
12195275,99.8,4.0,1.0,14.0,49,Male,No,10650.30,,,,,,,,,,,10650.30
26593499,99.8,8.0,5.0,11.0,32,Male,No,11863.17,,,,,,,,,,,11863.17
27704030,99.8,2.0,3.0,0.0,39,Female,No,5391.53,,,,,,,,,,,5391.53
20537459,99.7,4.0,4.0,7.0,50,Female,No,22614.69,,,,,,,,,,,22614.69
7579968,99.7,5.0,3.0,27.0,59,Other,No,5962.79,,,,,,,,,,,5962.79
9303646,99.7,6.0,5.0,7.0,44,Female,No,0.00,,,,,,,,,,,0.00
18904676,99.7,4.0,1.0,46.0,35,Male,No,860.50,,,,,,,,,,,860.50
22059597,99.6,8.0,2.0,51.0,40,Male,No,11814.26,,,,,,,,,,,11814.26
20999241,99.6,7.0,4.0,29.0,27,Female,No,14914.29,,,,,,,,,,,14914.29
19381108,99.5,2.0,1.0,37.0,66,Male,No,4356.11,,,,,,,,,,,4356.11
20271891,99.5,7.0,4.0,48.0,62,Male,Yes,9454.69,,,,,,,,,,,9454.69
17574442,99.5,3.0,1.0,51.0,41,Female,No,20068.19,,,,,,,,,,,20068.19
12008378,99.5,3.0,3.0,29.0,51,Male,No,1240.08,,,,,,,,,,,1240.08
16011971,99.5,4.0,4.0,2.0,46,Female,No,15272.68,,,,,,,,,,,15272.68
7147667,99.4,7.0,0.0,20.0,38,Male,No,22039.96,,,,,,,,,,,22039.96
26452361,99.4,1.0,4.0,51.0,61,Male,No,0.00,,,,,,,,,,,0.00
23571208,99.4,3.0,2.0,41.0,34,Female,No,0.00,,,,,,,,,,,0.00
7666222,99.4,3.0,0.0,20.0,51,Male,No,23903.52,,,,,,,,,,,23903.52
16112428,99.4,7.0,0.0,16.0,29,Male,No,14547.33,,,,,,,,,,,14547.33
21361885,99.3,4.0,4.0,37.0,48,Female,No,7135.97,,,,,,,,,,,7135.97
4983139,99.3,3.0,5.0,46.0,52,Male,Yes,9892.03,,,,,,,,,,,9892.03
22595673,99.3,5.0,2.0,59.0,26,Female,No,20546.52,,,,,,,,,,,20546.52
12839749,99.2,3.0,2.0,58.0,58,Male,No,2080.92,,,,,,,,,,,2080.92
20783091,99.2,3.0,2.0,58.0,48,Male,No,7306.01,,,,,,,,,,,7306.01
21497981,99.1,1.0,2.0,2.0,35,Female,No,0.00,,,,,,,,,,,0.00
22252102,99.1,8.0,2.0,35.0,36,Female,No,19470.32,,,,,,,,,,,19470.32
1332726,99.1,7.0,0.0,9.0,64,Female,No,17095.48,,,,,,,,,,,17095.48
8211092,99.0,3.0,0.0,5.0,31,Male,No,17223.64,,,,,,,,,,,17223.64
960038,99.0,3.0,3.0,57.0,42,Female,No,21509.33,,,,,,,,,,,21509.33
27911957,99.0,2.0,0.0,25.0,50,Female,No,20777.86,,,,,,,,,,,20777.86
23236412,99.0,8.0,1.0,12.0,37,Female,Yes,10016.99,,,,,,,,,,,10016.99
85752,98.9,5.0,1.0,22.0,53,Female,No,25819.64,,,,,,,,,,,25819.64
2761167,98.9,7.0,4.0,28.0,31,Female,No,6369.69,,,,,,,,,,,6369.69
4860140,98.9,6.0,2.0,2.0,57,Female,No,17932.39,,,,,,,,,,,17932.39
9537386,98.9,3.0,4.0,32.0,67,Male,No,1404.11,,,,,,,,,,,1404.11
27937609,98.9,8.0,3.0,13.0,44,Male,No,13091.27,,,,,,,,,,,13091.27
5218774,98.9,5.0,4.0,8.0,52,Female,No,12934.25,,,,,,,,,,,12934.25
3681523,98.8,6.0,2.0,15.0,47,Male,No,6717.11,,,,,,,,,,,6717.11
24889263,98.8,6.0,0.0,41.0,49,Male,No,11411.28,,,,,,,,,,,11411.28
25715482,98.8,7.0,1.0,48.0,33,Female,No,15246.08,,,,,,,,,,,15246.08
802149,98.8,7.0,2.0,53.0,38,Female,No,20497.85,,,,,,,,,,,20497.85
27926478,98.8,2.0,2.0,13.0,65,Female,No,5689.88,,,,,,,,,,,5689.88
9511750,98.8,2.0,0.0,49.0,45,Male,No,22335.12,,,,,,,,,,,22335.12
24280044,98.8,8.0,4.0,29.0,31,Male,No,5760.18,,,,,,,,,,,5760.18
22840691,98.7,8.0,2.0,18.0,52,Male,No,11519.16,,,,,,,,,,,11519.16
24911092,98.7,6.0,1.0,6.0,37,Female,No,18721.26,,,,,,,,,,,18721.26
18405991,98.7,1.0,3.0,8.0,47,Female,No,14521.32,,,,,,,,,,,14521.32
16055231,98.6,8.0,5.0,54.0,27,Male,No,17226.78,,,,,,,,,,,17226.78
21506343,98.6,8.0,3.0,50.0,40,Male,No,15055.14,,,,,,,,,,,15055.14
27390644,98.6,7.0,0.0,32.0,36,Male,No,10369.10,,,,,,,,,,,10369.10
25590497,98.6,6.0,3.0,38.0,38,Male,No,13415.60,,,,,,,,,,,13415.60
18324790,98.6,4.0,4.0,30.0,66,Male,No,3863.70,,,,,,,,,,,3863.70
19040970,98.6,7.0,2.0,20.0,52,Female,Yes,24895.27,,,,,,,,,,,24895.27
10119951,98.5,7.0,5.0,22.0,52,Female,No,12696.12,,,,,,,,,,,12696.12
16921616,98.5,1.0,5.0,39.0,43,Female,No,10315.77,,,,,,,,,,,10315.77
1681885,98.5,8.0,4.0,23.0,31,Male,No,8911.85,,,,,,,,,,,8911.85
19643963,98.5,7.0,1.0,22.0,30,Female,No,17505.59,,,,,,,,,,,17505.59
22888559,98.4,3.0,2.0,40.0,38,Female,No,9438.17,,,,,,,,,,,9438.17
10646457,98.4,8.0,4.0,11.0,42,Female,No,8503.68,,,,,,,,,,,8503.68
17294194,98.4,7.0,0.0,6.0,61,Female,No,15075.31,,,,,,,,,,,15075.31
20619460,98.4,1.0,4.0,43.0,32,Female,No,4702.48,,,,,,,,,,,4702.48
18506151,98.4,1.0,2.0,22.0,49,Male,Yes,7426.98,,,,,,,,,,,7426.98
3736054,98.4,7.0,0.0,20.0,57,Female,Yes,16087.54,,,,,,,,,,,16087.54
1157539,98.4,4.0,0.0,2.0,50,Female,No,10286.96,,,,,,,,,,,10286.96
3745739,98.4,7.0,1.0,26.0,31,Female,No,19542.38,,,,,,,,,,,19542.38
530139,98.3,5.0,1.0,24.0,60,Male,No,14021.00,,,,,,,,,,,14021.00
12883210,98.3,3.0,4.0,41.0,42,Male,No,93.96,,,,,,,,,,,93.96
11989263,98.3,6.0,4.0,11.0,46,Female,No,6645.43,,,,,,,,,,,6645.43
5818532,98.2,3.0,2.0,50.0,25,Male,No,0.00,,,,,,,,,,,0.00
25842019,98.2,1.0,1.0,27.0,38,Female,No,5907.06,,,,,,,,,,,5907.06
3411282,98.2,2.0,1.0,9.0,51,Male,No,14450.09,,,,,,,,,,,14450.09
6519430,98.2,5.0,4.0,43.0,57,Male,No,7044.56,,,,,,,,,,,7044.56
12597320,98.1,2.0,4.0,43.0,28,Male,No,11745.75,,,,,,,,,,,11745.75
22098331,98.1,8.0,2.0,13.0,37,Female,No,12953.39,,,,,,,,,,,12953.39
18477376,98.1,7.0,1.0,28.0,42,Male,Yes,13777.81,,,,,,,,,,,13777.81
15564168,98.0,8.0,1.0,13.0,26,Male,No,6529.60,,,,,,,,,,,6529.60
16390227,98.0,3.0,3.0,34.0,47,Male,No,22145.10,,,,,,,,,,,22145.10
12061137,98.0,2.0,2.0,44.0,36,Male,No,12452.78,,,,,,,,,,,12452.78
3462224,98.0,8.0,4.0,5.0,62,Male,Yes,9872.60,,,,,,,,,,,9872.60
25997292,98.0,7.0,4.0,35.0,31,Male,No,13268.90,,,,,,,,,,,13268.90
19146273,98.0,2.0,1.0,46.0,27,Male,No,19103.88,,,,,,,,,,,19103.88
22281703,97.9,7.0,3.0,1.0,40,Female,No,11202.29,,,,,,,,,,,11202.29
11896026,97.9,5.0,1.0,28.0,42,Female,Yes,3831.26,,,,,,,,,,,3831.26
9186683,97.9,6.0,1.0,16.0,43,Male,No,13931.17,,,,,,,,,,,13931.17
6471293,97.8,6.0,1.0,54.0,38,Male,No,15240.44,,,,,,,,,,,15240.44
9241034,97.8,4.0,1.0,46.0,42,Male,No,15884.51,,,,,,,,,,,15884.51
7008745,97.8,2.0,2.0,22.0,46,Female,No,20538.50,,,,,,,,,,,20538.50
23892420,97.8,1.0,2.0,9.0,61,Female,No,16249.39,,,,,,,,,,,16249.39
26039184,97.8,5.0,4.0,42.0,28,Male,No,17053.29,,,,,,,,,,,17053.29
8680819,97.8,6.0,4.0,25.0,55,Female,No,10286.07,,,,,,,,,,,10286.07
24592984,97.7,4.0,4.0,23.0,45,Female,Yes,20518.94,,,,,,,,,,,20518.94
1175689,97.7,2.0,0.0,47.0,59,Male,No,20658.27,,,,,,,,,,,20658.27
4274792,97.7,4.0,3.0,38.0,43,Female,No,13569.89,,,,,,,,,,,13569.89
1626263,97.7,7.0,2.0,51.0,42,Female,No,11045.33,,,,,,,,,,,11045.33
7368837,97.7,2.0,3.0,9.0,38,Male,No,12590.11,,,,,,,,,,,12590.11
25084641,97.7,2.0,1.0,37.0,48,Female,No,16329.57,,,,,,,,,,,16329.57
22126054,97.6,4.0,1.0,23.0,35,Female,No,6846.96,,,,,,,,,,,6846.96
13485189,97.6,8.0,0.0,57.0,44,Male,No,25794.28,,,,,,,,,,,25794.28
2627501,97.5,6.0,2.0,57.0,51,Female,No,18650.00,,,,,,,,,,,18650.00
922925,97.5,1.0,3.0,18.0,43,Male,No,13517.77,,,,,,,,,,,13517.77
156334,97.5,7.0,1.0,51.0,33,Male,No,3789.30,,,,,,,,,,,3789.30
14141685,97.5,5.0,5.0,15.0,57,Male,No,8674.66,,,,,,,,,,,8674.66
12303579,97.4,3.0,4.0,21.0,50,Male,No,21201.26,,,,,,,,,,,21201.26
18927747,97.4,5.0,3.0,7.0,41,Male,No,18821.83,,,,,,,,,,,18821.83
6378425,97.4,7.0,1.0,57.0,44,Female,No,19126.30,,,,,,,,,,,19126.30
21036740,97.4,8.0,3.0,13.0,30,Male,No,6660.33,,,,,,,,,,,6660.33
6747375,97.4,7.0,4.0,57.0,53,Male,No,12822.78,,,,,,,,,,,12822.78
4089000,97.4,6.0,5.0,36.0,30,Female,No,7302.63,,,,,,,,,,,7302.63
21481504,97.3,3.0,2.0,47.0,57,Female,No,4193.47,,,,,,,,,,,4193.47
26445140,97.3,2.0,2.0,42.0,56,Male,No,18182.09,,,,,,,,,,,18182.09
10846558,97.3,5.0,1.0,38.0,58,Male,No,11059.61,,,,,,,,,,,11059.61
27111025,97.2,4.0,3.0,2.0,52,Male,No,17809.53,,,,,,,,,,,17809.53
8750089,97.2,7.0,3.0,4.0,55,Male,No,17939.33,,,,,,,,,,,17939.33
12318363,97.2,2.0,1.0,45.0,23,Male,Yes,6844.59,,,,,,,,,,,6844.59
14036556,97.2,4.0,0.0,32.0,28,Male,No,12083.97,,,,,,,,,,,12083.97
27510736,97.2,7.0,2.0,9.0,52,Male,No,12163.29,,,,,,,,,,,12163.29
2851425,97.2,3.0,3.0,43.0,44,Female,No,0.00,,,,,,,,,,,0.00
18148573,97.2,7.0,2.0,53.0,40,Male,No,20257.30,,,,,,,,,,,20257.30
14739579,97.1,1.0,4.0,30.0,47,Male,No,14293.31,,,,,,,,,,,14293.31
12277337,97.1,8.0,4.0,12.0,46,Female,No,13980.22,,,,,,,,,,,13980.22
29580219,97.1,6.0,0.0,27.0,38,Male,No,17666.66,,,,,,,,,,,17666.66
12417055,97.1,4.0,3.0,7.0,66,Female,No,9674.23,,,,,,,,,,,9674.23
19986062,97.1,7.0,3.0,55.0,56,Male,No,13652.78,,,,,,,,,,,13652.78
1636486,97.0,8.0,2.0,6.0,46,Female,No,9855.04,,,,,,,,,,,9855.04
4656209,97.0,5.0,4.0,19.0,53,Female,No,5360.70,,,,,,,,,,,5360.70
8054142,97.0,6.0,4.0,60.0,47,Male,No,2724.79,,,,,,,,,,,2724.79
28857072,97.0,4.0,2.0,21.0,21,Female,No,12263.81,,,,,,,,,,,12263.81
22272702,97.0,4.0,2.0,39.0,35,Male,No,17978.24,,,,,,,,,,,17978.24
15568728,96.9,8.0,4.0,4.0,34,Female,No,13485.21,,,,,,,,,,,13485.21
15995821,96.9,8.0,0.0,3.0,41,Female,No,16289.47,,,,,,,,,,,16289.47
26507581,96.9,4.0,0.0,13.0,53,Male,No,7197.40,,,,,,,,,,,7197.40
15150656,96.9,7.0,3.0,1.0,51,Female,No,9053.87,,,,,,,,,,,9053.87
28016530,96.9,6.0,4.0,55.0,48,Male,Yes,8808.59,,,,,,,,,,,8808.59
27561581,96.9,7.0,4.0,36.0,28,Female,Yes,16615.75,,,,,,,,,,,16615.75
6090976,96.8,5.0,2.0,12.0,47,Male,No,8554.06,,,,,,,,,,,8554.06
3501965,96.8,7.0,2.0,49.0,28,Male,No,8985.13,,,,,,,,,,,8985.13
11524468,96.8,4.0,4.0,15.0,49,Female,No,3583.06,,,,,,,,,,,3583.06
7686120,96.8,3.0,1.0,9.0,39,Male,No,8951.54,,,,,,,,,,,8951.54
13238321,96.7,2.0,4.0,18.0,36,Male,No,3748.16,,,,,,,,,,,3748.16
19333,96.7,8.0,3.0,36.0,28,Male,No,15019.53,,,,,,,,,,,15019.53
17507408,96.7,4.0,2.0,50.0,28,Female,No,13461.83,,,,,,,,,,,13461.83
23552563,96.7,5.0,5.0,27.0,35,Female,No,14188.74,,,,,,,,,,,14188.74
29956537,96.7,4.0,1.0,7.0,41,Male,No,9777.27,,,,,,,,,,,9777.27
1792788,96.6,4.0,4.0,18.0,40,Male,No,5579.45,,,,,,,,,,,5579.45
20649933,96.6,4.0,2.0,28.0,67,Female,No,8556.39,,,,,,,,,,,8556.39
5535914,96.5,1.0,2.0,11.0,48,Female,Yes,7715.47,,,,,,,,,,,7715.47
27389448,96.5,3.0,4.0,35.0,20,Male,No,8371.31,,,,,,,,,,,8371.31
6101289,96.5,7.0,1.0,12.0,61,Male,No,10250.99,,,,,,,,,,,10250.99
20175821,96.5,4.0,4.0,45.0,22,Male,No,18347.36,,,,,,,,,,,18347.36
18549094,96.5,7.0,4.0,38.0,43,Male,No,15021.23,,,,,,,,,,,15021.23
27011482,96.5,2.0,4.0,32.0,20,Male,No,0.00,,,,,,,,,,,0.00
13249607,96.5,4.0,3.0,36.0,52,Male,No,13664.96,,,,,,,,,,,13664.96
29535484,96.4,8.0,2.0,5.0,49,Male,No,10917.20,,,,,,,,,,,10917.20
22274957,96.4,7.0,5.0,49.0,32,Male,No,12211.22,,,,,,,,,,,12211.22
26774496,96.4,5.0,3.0,22.0,24,Female,No,10994.34,,,,,,,,,,,10994.34
13132142,96.4,6.0,4.0,4.0,47,Male,No,3741.63,,,,,,,,,,,3741.63
22503037,96.4,1.0,1.0,5.0,32,Male,No,17867.94,,,,,,,,,,,17867.94
27538132,96.4,3.0,3.0,53.0,44,Male,No,6573.38,,,,,,,,,,,6573.38
4876571,96.3,5.0,4.0,7.0,45,Female,No,15312.84,,,,,,,,,,,15312.84
29518195,96.3,6.0,5.0,50.0,55,Female,No,3086.81,,,,,,,,,,,3086.81
18880442,96.3,4.0,4.0,20.0,45,Female,No,5184.86,,,,,,,,,,,5184.86
6318607,96.3,7.0,1.0,34.0,48,Male,No,10451.88,,,,,,,,,,,10451.88
28433665,96.3,3.0,1.0,13.0,43,Male,No,14365.71,,,,,,,,,,,14365.71
12060514,96.2,4.0,4.0,23.0,47,Male,No,12202.55,,,,,,,,,,,12202.55
4334568,96.2,7.0,5.0,41.0,32,Female,No,6694.98,,,,,,,,,,,6694.98
15069637,96.2,8.0,0.0,27.0,32,Male,No,17170.96,,,,,,,,,,,17170.96
6891755,96.1,7.0,1.0,42.0,41,Male,No,13853.67,,,,,,,,,,,13853.67
1715595,96.1,2.0,4.0,54.0,32,Male,Yes,3848.72,,,,,,,,,,,3848.72
9687040,96.1,7.0,2.0,23.0,63,Male,No,13654.27,,,,,,,,,,,13654.27
9229814,96.1,7.0,5.0,40.0,44,Male,No,9844.74,,,,,,,,,,,9844.74
10682068,96.1,1.0,4.0,34.0,54,Female,No,3441.93,,,,,,,,,,,3441.93
18797830,96.1,2.0,2.0,13.0,29,Female,No,11083.57,,,,,,,,,,,11083.57
29594816,96.1,7.0,1.0,20.0,31,Female,No,14050.47,,,,,,,,,,,14050.47
6744436,96.1,5.0,4.0,38.0,38,Female,No,22244.08,,,,,,,,,,,22244.08
7394141,96.1,6.0,0.0,58.0,51,Male,No,1407.73,,,,,,,,,,,1407.73
26699258,96.0,7.0,4.0,13.0,26,Female,Yes,10044.57,,,,,,,,,,,10044.57
7641702,96.0,5.0,1.0,28.0,42,Female,No,20070.77,,,,,,,,,,,20070.77
9219443,96.0,7.0,0.0,37.0,50,Male,No,9583.10,,,,,,,,,,,9583.10
5310864,96.0,6.0,1.0,17.0,44,Male,No,11619.51,,,,,,,,,,,11619.51
17394500,96.0,2.0,5.0,38.0,40,Male,No,18403.79,,,,,,,,,,,18403.79
25371700,96.0,3.0,4.0,14.0,56,Female,No,5187.39,,,,,,,,,,,5187.39
14821793,96.0,7.0,5.0,59.0,47,Male,No,15694.65,,,,,,,,,,,15694.65
7593493,96.0,2.0,4.0,9.0,48,Male,No,11416.78,,,,,,,,,,,11416.78
25368758,95.9,7.0,0.0,10.0,31,Female,No,18881.96,,,,,,,,,,,18881.96
466179,95.9,3.0,4.0,2.0,53,Female,No,4067.11,,,,,,,,,,,4067.11
5093714,95.9,7.0,4.0,22.0,56,Female,No,10478.50,,,,,,,,,,,10478.50
23270694,95.8,5.0,1.0,11.0,41,Female,No,6972.76,,,,,,,,,,,6972.76
